Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Electronic Commerce 2018,"Efraim Turban, Jon Outland, David King, Jae Kyu Lee, Ting-Peng Liang, Deborrah C. Turban",9th ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-58714-1,978-3-319-58715-8,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-58715-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58715-8,Business and Management; e-Business/e-Commerce; Business Information Systems; Operations Research/Decision Theory,Springer International Publishing,Springer
Market Research,"Erik Mooi, Marko Sarstedt, Irma Mooi-Reci",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-10-5217-0,978-981-10-5218-7,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-981-10-5218-7,http://link.springer.com/openurl?genre=book&isbn=978-981-10-5218-7,Business and Management; Market Research/Competitive Intelligence; Statistics for Business/Economics/Mathematical Finance/Insurance; Knowledge Management,Springer Singapore,Springer
Managing Sustainable Business,"Gilbert G. Lenssen, N. Craig Smith",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,"Springer Science+Business Media B.V., part of Springer Nature",978-94-024-1142-3,978-94-024-1144-7,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-94-024-1144-7,http://link.springer.com/openurl?genre=book&isbn=978-94-024-1144-7,"Business and Management; Business Ethics; Administration, Organization and Leadership; Business Strategy/Leadership; Emerging Markets/Globalization",Springer Netherlands,Springer
Knowledge Management,"Klaus North, Gita Kumta",2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-59977-9,978-3-319-59978-6,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-59978-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-59978-6,Business and Management; Knowledge Management; Innovation/Technology Management; Organization; Industrial Organization,Springer International Publishing,Springer
Customer Relationship Management,"V. Kumar, Werner Reinartz",3rd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-55380-0,978-3-662-55381-7,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-55381-7,http://link.springer.com/openurl?genre=book&isbn=978-3-662-55381-7,Business and Management; Customer Relationship Management; Big Data/Analytics; Business Strategy/Leadership,Springer Berlin Heidelberg,Springer
Strategic Human Resource Management and Employment Relations,Ashish Malik,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-13-0398-2,978-981-13-0399-9,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-981-13-0399-9,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0399-9,Business and Management; Human Resource Management; Organization; Business Strategy/Leadership,Springer Singapore,Springer
Entertainment Science,"Thorsten Hennig-Thurau, Mark B. Houston",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,"Springer International Publishing AG, part of Springer Nature",978-3-319-89290-0,978-3-319-89292-4,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-319-89292-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89292-4,Business and Management; Media Management; Market Research/Competitive Intelligence; Popular Science in Business and Management; Big Data/Analytics,Springer International Publishing,Springer
Analytical Corporate Finance,Angelo Corelli,2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-95761-6,978-3-319-95762-3,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-95762-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95762-3,Business and Management; Business Finance; Risk Management; Quantitative Finance; Financial Engineering; Financial Accounting,Springer International Publishing,Springer
A Concise Guide to Market Research,"Marko Sarstedt, Erik Mooi",3rd ed. 2019,Undergraduate textbook,2019,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-56706-7,978-3-662-56707-4,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-56707-4,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56707-4,Business and Management; Marketing; Management; Statistics for Business/Economics/Mathematical Finance/Insurance,Springer Berlin Heidelberg,Springer
Global Supply Chain and Operations Management,"Dmitry Ivanov, Alexander Tsipoulanidis, Jörn Schönberger",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-94312-1,978-3-319-94313-8,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-94313-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94313-8,Business and Management; Operations Management; Operations Research/Decision Theory,Springer International Publishing,Springer
International Business Management,"Kamal Fatehi, Jeongho Choi",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-96621-2,978-3-319-96622-9,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-96622-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96622-9,Business and Management; Cross-Cultural Management; Business Strategy/Leadership; Human Resource Management; Business Information Systems,Springer International Publishing,Springer
Excel Data Analysis,Hector Guerrero,2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-01278-6,978-3-030-01279-3,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-030-01279-3,http://link.springer.com/openurl?genre=book&isbn=978-3-030-01279-3,Business and Management; Operations Research/Decision Theory; Probability Theory and Stochastic Processes; Statistics for Business/Economics/Mathematical Finance/Insurance; Organization; Business Mathematics; IT in Business,Springer International Publishing,Springer
Digital Business Models,Bernd W. Wirtz,1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-13004-6,978-3-030-13005-3,EN,English/International,41169,Business and Management,,2196-8705,2196-8713,Progress in IS,,http://doi.org/10.1007/978-3-030-13005-3,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13005-3,Business and Management; e-Business/e-Commerce; e-Commerce/e-business; Organization; Innovation/Technology Management; Entrepreneurship,Springer International Publishing,Springer
Social Marketing in Action,"Debra Z. Basil, Gonzalo Diaz-Meneses, Michael D. Basil",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-13019-0,978-3-030-13020-6,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-030-13020-6,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13020-6,Business and Management; Consumer Behavior; Market Research/Competitive Intelligence; Management Education,Springer International Publishing,Springer
Essentials of Business Analytics,"Bhimasankaram Pochiraju, Sridhar Seshadri",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-68836-7,978-3-319-68837-4,EN,English/International,41169,Business and Management,,0884-8289,2214-7934,International Series in Operations Research & Management Science,264.0,http://doi.org/10.1007/978-3-319-68837-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68837-4,Business and Management; Operations Research/Decision Theory; Statistics for Business/Economics/Mathematical Finance/Insurance; Big Data/Analytics,Springer International Publishing,Springer
