Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Engineering Mechanics 1,"Dietmar Gross, Werner Hauger, Jörg Schröder, Wolfgang A. Wall, Nimal Rajapakse",2nd ed. 2013,Graduate/advanced undergraduate textbook,2013,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-642-30318-0,978-3-642-30319-7,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-642-30319-7,http://link.springer.com/openurl?genre=book&isbn=978-3-642-30319-7,"Engineering; Mechanical Engineering; Civil Engineering; Electrical Engineering; Materials Science, general; Physics, general; Mathematics, general",Springer Berlin Heidelberg,Springer
Thermodynamics and Energy Conversion,Henning Struchtrup,2014,Graduate/advanced undergraduate textbook,2014,Springer-Verlag Berlin Heidelberg,978-3-662-43714-8,978-3-662-43715-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-662-43715-5,http://link.springer.com/openurl?genre=book&isbn=978-3-662-43715-5,"Engineering; Engineering Thermodynamics, Heat and Mass Transfer; Thermodynamics; Industrial Chemistry/Chemical Engineering; Engineering Fluid Dynamics; Classical and Continuum Physics; Energy Systems",Springer Berlin Heidelberg,Springer
Principles of Mobile Communication,Gordon L. Stüber,4th ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-55614-7,978-3-319-55615-4,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-55615-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-55615-4,"Engineering; Communications Engineering, Networks; Signal, Image and Speech Processing; Input/Output and Data Communications",Springer International Publishing,Springer
Physics of Semiconductor Devices,Massimo Rudan,2015,Undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-1150-9,978-1-4939-1151-6,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4939-1151-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1151-6,"Engineering; Circuits and Systems; Semiconductors; Electronics and Microelectronics, Instrumentation",Springer New York,Springer
Life Cycle Assessment,"Michael Z. Hauschild, Ralph K. Rosenbaum, Stig Irving Olsen",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG,978-3-319-56474-6,978-3-319-56475-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-56475-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-56475-3,Engineering; Sustainable Development; Renewable and Green Energy; Sustainability Management,Springer International Publishing,Springer
Additive Manufacturing Technologies,"Ian Gibson, David Rosen, Brent Stucker",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-2112-6,978-1-4939-2113-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4939-2113-3,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2113-3,Engineering; Engineering Design; Nanotechnology,Springer New York,Springer
Robotics,"Bruno Siciliano, Lorenzo Sciavicco, Luigi Villani, Giuseppe Oriolo",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag London,978-1-84628-641-4,978-1-84628-642-1,EN,English/International,11647,Engineering,,1439-2232,2510-3814,Advanced Textbooks in Control and Signal Processing,,http://doi.org/10.1007/978-1-84628-642-1,http://link.springer.com/openurl?genre=book&isbn=978-1-84628-642-1,"Engineering; Robotics and Automation; Control, Robotics, Mechatronics; Machinery and Machine Elements",Springer London,Springer
Fundamentals of Structural Engineering,"Jerome J. Connor, Susan Faraji",2nd ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-24329-0,978-3-319-24331-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-24331-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24331-3,"Engineering; Light Construction, Steel Construction, Timber Construction; Building Construction and Design; Solid Construction; Structural Materials",Springer International Publishing,Springer
Electronics for Embedded Systems,Ahmet Bindal,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-39437-4,978-3-319-39439-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-39439-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-39439-8,"Engineering; Circuits and Systems; Electronics and Microelectronics, Instrumentation",Springer International Publishing,Springer
Practical Electrical Engineering,"Sergey N. Makarov, Reinhold Ludwig, Stephen J. Bitar",1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21172-5,978-3-319-21173-2,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-21173-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21173-2,"Engineering; Circuits and Systems; Electronics and Microelectronics, Instrumentation; Electronic Circuits and Devices",Springer International Publishing,Springer
The Finite Element Method and Applications in Engineering Using ANSYS®,"Erdogan Madenci, Ibrahim Guven",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing,978-1-4899-7549-2,978-1-4899-7550-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4899-7550-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7550-8,"Engineering; Mechanical Engineering; Mathematical and Computational Engineering; Computer-Aided Engineering (CAD, CAE) and Design; Computational Science and Engineering",Springer US,Springer
Introduction to Embedded Systems,"Manuel Jiménez, Rogelio Palomera, Isidoro Couvertier",2014,Undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-3142-8,978-1-4614-3143-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4614-3143-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3143-5,"Engineering; Circuits and Systems; Processor Architectures; Electronics and Microelectronics, Instrumentation",Springer New York,Springer
The Finite Volume Method in Computational Fluid Dynamics,"F. Moukalled, L. Mangani, M. Darwish",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-16873-9,978-3-319-16874-6,EN,English/International,11647,Engineering,,0926-5112,2215-0056,Fluid Mechanics and Its Applications,113.0,http://doi.org/10.1007/978-3-319-16874-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-16874-6,"Engineering; Engineering Fluid Dynamics; Computational Science and Engineering; Numerical and Computational Physics, Simulation; Fluid- and Aerodynamics",Springer International Publishing,Springer
Introduction to Logic Circuits & Logic Design with VHDL ,Brock J. LaMeres,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-34194-1,978-3-319-34195-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-34195-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-34195-8,Engineering; Circuits and Systems; Processor Architectures; Logic Design,Springer International Publishing,Springer
Statics and Mechanics of Structures,"Steen Krenk, Jan Høgsberg",2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media Dordrecht,978-94-007-6112-4,978-94-007-6113-1,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-94-007-6113-1,http://link.springer.com/openurl?genre=book&isbn=978-94-007-6113-1,Engineering,Springer Netherlands,Springer
"Robotics, Vision and Control",Peter Corke,2011,Graduate/advanced undergraduate textbook,2011,Springer-Verlag Berlin Heidelberg,978-3-642-20143-1,978-3-642-20144-8,EN,English/International,11647,Engineering,,1610-7438,1610-742X,Springer Tracts in Advanced Robotics,73.0,http://doi.org/10.1007/978-3-642-20144-8,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20144-8,"Engineering; Robotics and Automation; Image Processing and Computer Vision; Signal, Image and Speech Processing; Machinery and Machine Elements; Cognitive Psychology",Springer Berlin Heidelberg,Springer
Engineering Mechanics 2,"Dietmar Gross, Werner Hauger, Jörg Schröder, Wolfgang A. Wall, Javier Bonet",2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-56271-0,978-3-662-56272-7,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-662-56272-7,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56272-7,Engineering; Structural Materials; Mechanical Engineering,Springer Berlin Heidelberg,Springer
Fundamentals of Solid State Engineering,Manijeh Razeghi,4th ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-75707-0,978-3-319-75708-7,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-75708-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75708-7,"Engineering; Electronics and Microelectronics, Instrumentation; Optical and Electronic Materials; Solid State Physics; Spectroscopy and Microscopy; Nanotechnology",Springer International Publishing,Springer
Introduction to Digital Systems Design,"Giuliano Donzellini, Luca Oneto, Domenico Ponta, Davide Anguita",1st ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-92803-6,978-3-319-92804-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-92804-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92804-3,Engineering; Electrical Engineering; Logic Design; Algorithms,Springer International Publishing,Springer
Internet of Things From Hype to Reality,"Ammar Rayes, Samer Salam",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-99515-1,978-3-319-99516-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-99516-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99516-8,"Engineering; Communications Engineering, Networks; Electronics and Microelectronics, Instrumentation; Information Systems Applications (incl.Internet); User Interfaces and Human Computer Interaction",Springer International Publishing,Springer
Structural Dynamics,"Mario Paz, Young Hoon Kim",6th ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-94742-6,978-3-319-94743-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-94743-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94743-3,Engineering; Civil Engineering,Springer International Publishing,Springer
Quick Start Guide to VHDL,Brock J. LaMeres,1st ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-04515-9,978-3-030-04516-6,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-030-04516-6,http://link.springer.com/openurl?genre=book&isbn=978-3-030-04516-6,Engineering; Circuits and Systems; Processor Architectures; Logic Design,Springer International Publishing,Springer
Astronautics,Ulrich Walter,3rd ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-74372-1,978-3-319-74373-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-74373-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-74373-8,"Engineering; Aerospace Technology and Astronautics; Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics); Classical Mechanics; Classical and Quantum Gravitation, Relativity Theory",Springer International Publishing,Springer
Quick Start Guide to Verilog,Brock J. LaMeres,1st ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-10551-8,978-3-030-10552-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-030-10552-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-10552-5,Engineering; Circuits and Systems; Processor Architectures; Logic Design,Springer International Publishing,Springer
Introduction to Logic Circuits & Logic Design with VHDL ,Brock J. LaMeres,2nd ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-12488-5,978-3-030-12489-2,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-030-12489-2,http://link.springer.com/openurl?genre=book&isbn=978-3-030-12489-2,Engineering; Circuits and Systems; Processor Architectures; Logic Design,Springer International Publishing,Springer
Introduction to Logic Circuits & Logic Design with Verilog,Brock J. LaMeres,2nd ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-13604-8,978-3-030-13605-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-030-13605-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13605-5,Engineering; Circuits and Systems; Processor Architectures; Logic Design,Springer International Publishing,Springer
