Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Nanotechnology: Principles and Practices,Sulabha K. Kulkarni,3rd ed. 2015,Graduate/advanced undergraduate textbook,2015,Capital Publishing Company,978-3-319-09170-9,978-3-319-09171-6,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-09171-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-09171-6,Materials Science; Nanotechnology; Nanoscale Science and Technology; Nanochemistry,Springer International Publishing,Springer
Structure Determination by X-ray Crystallography,"Mark Ladd, Rex Palmer",5th ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-3953-0,978-1-4614-3954-7,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-3954-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3954-7,Chemistry; Physical Chemistry; Crystallography and Scattering Methods; Protein Structure; Characterization and Evaluation of Materials; Geophysics/Geodesy,Springer US,Springer
Ceramic Materials,"C. Barry Carter, M. Grant Norton",2nd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-3522-8,978-1-4614-3523-5,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-3523-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3523-5,"Materials Science; Ceramics, Glass, Composites, Natural Materials; Inorganic Chemistry; Nanotechnology; Characterization and Evaluation of Materials; Optical and Electronic Materials",Springer New York,Springer
Foundations of Analytical Chemistry,"Miguel Valcárcel Cases, Ángela I. López-Lorente, Ma Ángeles López-Jiménez",1st ed. 2018,Undergraduate textbook,2018,Springer International Publishing AG,978-3-319-62871-4,978-3-319-62872-1,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-62872-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-62872-1,"Chemistry; Analytical Chemistry; Monitoring/Environmental Analysis; Characterization and Evaluation of Materials; Biochemistry, general; Pharmacology/Toxicology",Springer International Publishing,Springer
Mass Spectrometry,Jürgen H Gross,3rd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-54397-0,978-3-319-54398-7,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-54398-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54398-7,Chemistry; Mass Spectrometry; Proteomics; Pharmacology/Toxicology; Monitoring/Environmental Analysis; Organic Chemistry; Forensic Science,Springer International Publishing,Springer
Statistical Mechanics for Engineers,Isamu Kusaka,1st ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-13809-1,978-3-319-15018-5,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-13809-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-15018-5,"Chemistry; Industrial Chemistry/Chemical Engineering; Theoretical and Computational Chemistry; Complex Systems; Engineering Thermodynamics, Heat and Mass Transfer; Statistical Physics and Dynamical Systems",Springer International Publishing,Springer
Magnetic Interactions in Molecules and Solids,"Coen de Graaf, Ria Broer",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-22950-8,978-3-319-22951-5,EN,English/International,11644,Chemistry and Materials Science,,2214-4714,2214-4722,Theoretical Chemistry and Computational Modelling,,http://doi.org/10.1007/978-3-319-22951-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-22951-5,Chemistry; Theoretical and Computational Chemistry; Inorganic Chemistry; Structural Materials,Springer International Publishing,Springer
Polymer Synthesis: Theory and Practice,"Dietrich Braun, Harald Cherdron, Matthias Rehahn, Helmut Ritter, Brigitte Voit",5th ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-28979-8,978-3-642-28980-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-642-28980-4,http://link.springer.com/openurl?genre=book&isbn=978-3-642-28980-4,"Chemistry; Polymer Sciences; Organic Chemistry; Soft and Granular Matter, Complex Fluids and Microfluidics; Physical Chemistry",Springer Berlin Heidelberg,Springer
Food Analysis Laboratory Manual,S. Suzanne Nielsen,3rd ed. 2017,Undergraduate textbook,2017,Springer International Publishing,978-3-319-44125-2,978-3-319-44127-6,EN,English/International,11644,Chemistry and Materials Science,,1572-0330,2214-7799,Food Science Text Series,,http://doi.org/10.1007/978-3-319-44127-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44127-6,Chemistry; Food Science; Industrial Chemistry/Chemical Engineering; Spectroscopy/Spectrometry,Springer International Publishing,Springer
Electrochemical Impedance Spectroscopy and its Applications,Andrzej Lasia,2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-8932-0,978-1-4614-8933-7,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-8933-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-8933-7,Chemistry; Electrochemistry; Spectroscopy/Spectrometry,Springer New York,Springer
Group Theory Applied to Chemistry,Arnout Jozef Ceulemans,2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media Dordrecht,978-94-007-6862-8,978-94-007-6863-5,EN,English/International,11644,Chemistry and Materials Science,,2214-4714,2214-4722,Theoretical Chemistry and Computational Modelling,,http://doi.org/10.1007/978-94-007-6863-5,http://link.springer.com/openurl?genre=book&isbn=978-94-007-6863-5,Chemistry; Theoretical and Computational Chemistry; Crystallography and Scattering Methods; Inorganic Chemistry,Springer Netherlands,Springer
Food Chemistry,"H.-D. Belitz, Werner Grosch, Peter Schieberle",4th ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag Berlin Heidelberg,978-3-540-69933-0,978-3-540-69934-7,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-540-69934-7,http://link.springer.com/openurl?genre=book&isbn=978-3-540-69934-7,"Chemistry; Food Science; Agriculture; Analytical Chemistry; Biochemistry, general; Nutrition",Springer Berlin Heidelberg,Springer
Exam Survival Guide: Physical Chemistry,Jochen Vogt,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-49808-9,978-3-319-49810-2,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-49810-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49810-2,Chemistry; Physical Chemistry; Thermodynamics; Spectroscopy/Spectrometry; Electrochemistry,Springer International Publishing,Springer
Food Analysis,S. Suzanne Nielsen,5th ed. 2017,Undergraduate textbook,2017,Springer International Publishing,978-3-319-45774-1,978-3-319-45776-5,EN,English/International,11644,Chemistry and Materials Science,,1572-0330,2214-7799,Food Science Text Series,,http://doi.org/10.1007/978-3-319-45776-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-45776-5,Chemistry; Food Science; Industrial Chemistry/Chemical Engineering; Spectroscopy/Spectrometry,Springer International Publishing,Springer
Physical Chemistry from a Different Angle,"Georg Job, Regina Rüffler",1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-15665-1,978-3-319-15666-8,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-15666-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-15666-8,Chemistry; Physical Chemistry; Thermodynamics,Springer International Publishing,Springer
Essentials of Food Science,"Vickie A. Vaclavik, Elizabeth W. Christian",4th ed. 2014,Undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-9137-8,978-1-4614-9138-5,EN,English/International,11644,Chemistry and Materials Science,,1572-0330,2214-7799,Food Science Text Series,,http://doi.org/10.1007/978-1-4614-9138-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9138-5,Chemistry; Food Science,Springer New York,Springer
Chemical and Bioprocess Engineering,"Ricardo Simpson, Sudhir K. Sastry",2013,Undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-9125-5,978-1-4614-9126-2,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-9126-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9126-2,"Chemistry; Biochemical Engineering; Food Science; Engineering Thermodynamics, Heat and Mass Transfer; Mathematical Modeling and Industrial Mathematics",Springer New York,Springer
Applied Chemistry,"Oleg Roussak, H. D. Gesser",2nd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-4261-5,978-1-4614-4262-2,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-4262-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4262-2,Chemistry; Industrial Chemistry/Chemical Engineering; Physical Chemistry; Renewable and Green Energy; Characterization and Evaluation of Materials,Springer US,Springer
Advanced Organic Chemistry,"Francis A. Carey, Richard J. Sundberg",5th ed. 2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag US,978-0-387-44897-8,978-0-387-44899-2,EN,English/International,11644,Chemistry and Materials Science,,,,Advanced Organic Chemistry,,http://doi.org/10.1007/978-0-387-44899-2,http://link.springer.com/openurl?genre=book&isbn=978-0-387-44899-2,Chemistry; Organic Chemistry; Physical Chemistry; Medicinal Chemistry,Springer US,Springer
Advanced Organic Chemistry,"Francis A. Carey, Richard J. Sundberg",5th ed. 2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag US,978-0-387-68350-8,978-0-387-71481-3,EN,English/International,11644,Chemistry and Materials Science,,,,Advanced Organic Chemistry,,http://doi.org/10.1007/978-0-387-71481-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-71481-3,Chemistry; Organic Chemistry; Pharmacy; Medicinal Chemistry,Springer US,Springer
Scanning Electron Microscopy and X-Ray Microanalysis,"Joseph I. Goldstein, Dale E. Newbury, Joseph R. Michael, Nicholas W.M. Ritchie, John Henry J. Scott, David C. Joy",4th ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Science+Business Media LLC,978-1-4939-6674-5,978-1-4939-6676-9,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4939-6676-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6676-9,Materials Science; Characterization and Evaluation of Materials; Spectroscopy and Microscopy; Biological Microscopy; Spectroscopy/Spectrometry; Measurement Science and Instrumentation,Springer New York,Springer
Polymer Chemistry,"Sebastian Koltzenburg, Michael Maskos, Oskar Nuyken",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag Berlin Heidelberg,978-3-662-49277-2,978-3-662-49279-6,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-662-49279-6,http://link.springer.com/openurl?genre=book&isbn=978-3-662-49279-6,Chemistry; Polymer Sciences; Organic Chemistry; Inorganic Chemistry,Springer Berlin Heidelberg,Springer
